latitude,longitude,capacity,iday,imonth,iyear,date,city,provstate,country_txt,region_txt,attacktype
48.139126,11.580186,1,10,2,1970,10/02/1970,Munich,Bavaria,West Germany (FRG),Western Europe,Armed Assault
48.139126,11.580186,7,13,2,1970,13/02/1970,Munich,Bavaria,West Germany (FRG),Western Europe,Facility/Infrastructure Attack
47.36865,8.539182,47,21,2,1970,21/02/1970,Zurich,Zurich,Switzerland,Western Europe,Bombing/Explosion
53.361675,-6.245485,1,3,4,1970,03/04/1970,Dublin,Dublin,Ireland,Western Europe,Armed Assault
55.011562,-7.312045,5,26,6,1970,26/06/1970,Londonderry,Northern Ireland,United Kingdom,Western Europe,Armed Assault
55.011562,-7.312045,3,27,6,1970,27/06/1970,Londonderry,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.607712,-5.95621,1,27,6,1970,27/06/1970,Belfast,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.607712,-5.95621,1,27,6,1970,27/06/1970,Belfast,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.607712,-5.95621,3,27,6,1970,27/06/1970,Belfast,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.077313,-6.608787,2,11,8,1970,11/08/1970,Crossmaglen,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
37.99749,23.762728,2,2,9,1970,02/09/1970,Athens,Attica,Greece,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,4,9,1970,04/09/1970,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
52.370216,4.895168,1,6,9,1970,06/09/1970,Amsterdam,North Holland,Netherlands,Western Europe,Hijacking
54.607712,-5.95621,1,30,9,1970,30/09/1970,Belfast,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.607712,-5.95621,2,16,11,1970,16/11/1970,Belfast,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.607712,-5.95621,1,23,12,1970,23/12/1970,Belfast,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.607712,-5.95621,1,27,1,1971,27/01/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,6,2,1971,06/02/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.63797,-6.14485,1,7,2,1971,07/02/1971,Nutt's Corner,Northern Ireland,United Kingdom,Western Europe,Assassination
54.452223,-7.486124,5,9,2,1971,09/02/1971,Trillick,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,15,2,1971,15/02/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,2,26,2,1971,26/02/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,8,3,1971,08/03/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,10,3,1971,10/03/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
59.332788,18.064488,1,7,4,1971,07/04/1971,Stockholm,Stockholm,Sweden,Western Europe,Assassination
54.607712,-5.95621,1,8,5,1971,08/05/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Facility/Infrastructure Attack
54.607712,-5.95621,1,22,5,1971,22/05/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,25,5,1971,25/05/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,12,7,1971,12/07/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,14,7,1971,14/07/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,8,8,1971,08/08/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,9,8,1971,09/08/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.794884,-7.537385,1,9,8,1971,09/08/1971,Clady,Northern Ireland,United Kingdom,Western Europe,Assassination
55.011562,-7.312045,1,10,8,1971,10/08/1971,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,11,8,1971,11/08/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,11,8,1971,11/08/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,14,8,1971,14/08/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,25,8,1971,25/08/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,25,8,1971,25/08/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.077313,-6.608787,1,29,8,1971,29/08/1971,Crossmaglen,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,30,8,1971,30/08/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.22641,-7.649053,1,3,9,1971,03/09/1971,Kinawley,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,3,9,1971,03/09/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.183052,-6.341388,1,4,9,1971,04/09/1971,Newry,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.552254,-6.086832,1,9,9,1971,09/09/1971,Unknown,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,13,9,1971,13/09/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,13,9,1971,13/09/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
55.011562,-7.312045,1,14,9,1971,14/09/1971,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.531707,-6.737144,1,14,9,1971,14/09/1971,Edendork,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,14,9,1971,14/09/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,16,9,1971,16/09/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,16,9,1971,16/09/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,17,9,1971,17/09/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.819164,-7.467909,1,18,9,1971,18/09/1971,Strabane,Northern Ireland,United Kingdom,Western Europe,Assassination
55.011562,-7.312045,1,28,9,1971,28/09/1971,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,2,29,9,1971,29/09/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
55.011562,-7.312045,1,30,9,1971,30/09/1971,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,1,10,1971,01/10/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.530989,-6.02939,1,2,10,1971,02/10/1971,Lambeg,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,3,10,1971,03/10/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,4,10,1971,04/10/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,9,10,1971,09/10/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,2,15,10,1971,15/10/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,15,10,1971,15/10/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
55.011562,-7.312045,1,16,10,1971,16/10/1971,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,17,10,1971,17/10/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,23,10,1971,23/10/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,24,10,1971,24/10/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,26,10,1971,26/10/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
55.011562,-7.312045,2,27,10,1971,27/10/1971,Londonderry,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
53.361675,-6.245485,1,27,10,1971,27/10/1971,Dublin,Dublin,Ireland,Western Europe,Assassination
54.607712,-5.95621,2,1,11,1971,01/11/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,3,2,11,1971,02/11/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.463367,-6.328597,1,7,11,1971,07/11/1971,Lurgan,Northern Ireland,United Kingdom,Western Europe,Assassination
55.011562,-7.312045,1,9,11,1971,09/11/1971,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,2,11,11,1971,11/11/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,12,11,1971,12/11/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,18,11,1971,18/11/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.819164,-7.467909,1,24,11,1971,24/11/1971,Strabane,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.463367,-6.328597,1,24,11,1971,24/11/1971,Lurgan,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.183052,-6.341388,2,27,11,1971,27/11/1971,Newry,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,27,11,1971,27/11/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,28,11,1971,28/11/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.077313,-6.608787,1,29,11,1971,29/11/1971,Crossmaglen,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,15,4,12,1971,04/12/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,4,12,1971,04/12/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,6,12,1971,06/12/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.351322,-6.837455,1,7,12,1971,07/12/1971,Caledon,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,8,12,1971,08/12/1971,"Ballymurphy, Belfast",Northern Ireland,United Kingdom,Western Europe,Assassination
54.794884,-7.537385,2,10,12,1971,10/12/1971,Clady,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,4,11,12,1971,11/12/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.819164,-7.467909,1,12,12,1971,12/12/1971,Strabane,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,16,12,1971,16/12/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,18,12,1971,18/12/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,20,12,1971,20/12/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,21,12,1971,21/12/1971,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
55.011562,-7.312045,1,29,12,1971,29/12/1971,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,5,1,1972,05/01/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,12,1,1972,12/01/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.684823,-5.965868,1,13,1,1972,13/01/1972,Newtownabbey,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,18,1,1972,18/01/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.250039,-6.703625,1,21,1,1972,21/01/1972,Keady,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.255696,-5.948804,1,26,1,1972,26/01/1972,Castlewellan,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
55.011562,-7.312045,2,27,1,1972,27/01/1972,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,28,1,1972,28/01/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,31,1,1972,31/01/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,7,1,2,1972,01/02/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,1,2,1972,01/02/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
52.50153,13.401851,1,2,2,1972,02/02/1972,Kladow,Berlin,West Germany (FRG),Western Europe,Bombing/Explosion
54.577389,-6.677339,1,2,2,1972,02/02/1972,Stewartstown,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.250039,-6.703625,2,6,2,1972,06/02/1972,Keady,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,8,2,1972,08/02/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.347539,-6.656108,1,8,2,1972,08/02/1972,Armagh,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.131402,-6.586387,2,10,2,1972,10/02/1972,Cullyhanna,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.184008,-7.360209,1,13,2,1972,13/02/1972,Newtownbutler,Northern Ireland,United Kingdom,Western Europe,Assassination
55.011562,-7.312045,1,16,2,1972,16/02/1972,Londonderry,Northern Ireland,United Kingdom,Western Europe,Hostage Taking (Kidnapping)
54.479875,-6.228448,1,16,2,1972,16/02/1972,Moira,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,17,2,1972,17/02/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,4,21,2,1972,21/02/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
51.248429,-0.755979,7,22,2,1972,22/02/1972,Aldershot,England,United Kingdom,Western Europe,Bombing/Explosion
51.248429,-0.755979,7,22,2,1972,22/02/1972,Aldershot,England,United Kingdom,Western Europe,Bombing/Explosion
54.463367,-6.328597,1,29,2,1972,29/02/1972,Lurgan,Northern Ireland,United Kingdom,Western Europe,Assassination
54.183052,-6.341388,1,29,2,1972,29/02/1972,Newry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.365171,-8.036373,1,1,3,1972,01/03/1972,Frevagh,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,3,3,1972,03/03/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,4,3,1972,04/03/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,2,4,3,1972,04/03/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
55.011562,-7.312045,1,4,3,1972,04/03/1972,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.293235,-6.842351,1,8,3,1972,08/03/1972,Middletown,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,12,3,1972,12/03/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,13,3,1972,13/03/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.536706,-6.70361,1,15,3,1972,15/03/1972,Coalisland,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,2,15,3,1972,15/03/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.463367,-6.328597,1,16,3,1972,16/03/1972,Lurgan,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,7,20,3,1972,20/03/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
55.011562,-7.312045,1,20,3,1972,20/03/1972,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,23,3,1972,23/03/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.607712,-5.95621,1,25,3,1972,25/03/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.607712,-5.95621,1,26,3,1972,26/03/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
55.043617,-7.023927,2,28,3,1972,28/03/1972,Ballykelly,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,29,3,1972,29/03/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,30,3,1972,30/03/1972,"Andersontown, Belfast",Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.607712,-5.95621,1,7,4,1972,07/04/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
55.011562,-7.312045,1,10,4,1972,10/04/1972,Rosemount,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
55.071136,-6.513154,1,13,4,1972,13/04/1972,Ballymoney,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,15,4,1972,15/04/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,15,4,1972,15/04/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
55.011562,-7.312045,1,16,4,1972,16/04/1972,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
55.011562,-7.312045,1,16,4,1972,16/04/1972,Londonderry,Northern Ireland,United Kingdom,Western Europe,Armed Assault
54.192934,-6.576051,1,19,4,1972,19/04/1972,Newtownhamilton,Northern Ireland,United Kingdom,Western Europe,Hostage Taking (Kidnapping)
54.607712,-5.95621,1,19,4,1972,19/04/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,20,4,1972,20/04/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,21,4,1972,21/04/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,29,4,1972,29/04/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.713641,-5.808233,1,1,5,1972,01/05/1972,Carrickfergus,Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,4,5,1972,04/05/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
45.463681,9.188171,1,15,3,1972,15/03/1972,Milan,Lombardy,Italy,Western Europe,Bombing/Explosion
48.208174,16.373819,4,8,5,1972,08/05/1972,Vienna,Vienna,Austria,Western Europe,Hijacking
50.11797,8.644191,1,11,5,1972,11/05/1972,Frankfurt,Hesse,West Germany (FRG),Western Europe,Bombing/Explosion
54.607712,-5.95621,1,11,5,1972,11/05/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,13,5,1972,13/05/1972,"Ballymurphy, Belfast",Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,13,5,1972,13/05/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,13,5,1972,13/05/1972,"Ballymurphy, Belfast",Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,13,5,1972,13/05/1972,"Ballymurphy, Belfast",Northern Ireland,United Kingdom,Western Europe,Bombing/Explosion
54.607712,-5.95621,1,14,5,1972,14/05/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,14,5,1972,14/05/1972,"Ballymurphy, Belfast",Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,15,5,1972,15/05/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.69212,-5.863265,1,17,5,1972,17/05/1972,Greenisland,Northern Ireland,United Kingdom,Western Europe,Assassination
54.077313,-6.608787,1,17,5,1972,17/05/1972,Crossmaglen,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,19,5,1972,19/05/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.787715,-6.492314,1,20,5,1972,20/05/1972,Unknown,Northern Ireland,United Kingdom,Western Europe,Assassination
55.011562,-7.312045,1,21,5,1972,21/05/1972,Londonderry,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,21,5,1972,21/05/1972,Belfast,Northern Ireland,United Kingdom,Western Europe,Assassination
54.787715,-6.492314,1,22,5,1972,22/05/1972,Unknown,Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,23,5,1972,23/05/1972,"Ballymurphy, Belfast",Northern Ireland,United Kingdom,Western Europe,Assassination
54.607712,-5.95621,1,23,5,1972,23/05/1972,Finaghy,Northern Ireland,United Kingdom,Western Europe,Assassination
49.4019,8.680285,3,24,5,1972,24/05/1972,Heidelberg,Baden-Wurttemberg,West Germany (FRG),Western Europe,Bombing/Explosion
